Issue_div,Issued_div_last_year,Net_margin,EBIT_income_growth_yoy,Net_gearing,Capex_to_EBITDA
0,0,0.090051,0.25235,5.08482,0.372021634
0,0,0.20955,-0.019162,-0.49761,0.373225043
0,0,0.011784,2.451297,0.384229,0.732486544
0,0,-0.205597,-0.214632,-0.795421,-0.662663847
0,0,-0.003741,-0.664506,-0.630345,0.995355663
1,1,1.30595,0.108877,0.093577,0.139097744
1,1,0.309625,0.23278,-0.459976,0.226248388
1,1,0.256091,-0.25184,-0.676336,0.144418193
1,1,0.209136,0.036884,-1.064479,0.092702045
0,0,0.055252,0.574789,0.172455,0.755960676
0,0,0.220619,0.204289,-0.49348,0.389609708
0,0,0.339045,0.362086,-0.395799,0.370516079
1,1,0.111479,0.165505,1.425505,0.039427744
0,0,0.110473,0.760692,0.93132,0.085593354
1,1,0.259419,0.026672,2.407407,0.088097786
0,0,-1.067466,-1.036068,-1.020963,-0.010873284
0,0,0.044797,0.159734,1.48234,0.393776096
0,0,0.007369,-0.44486,-0.049993,0.183138707
1,1,0.22746,-0.042127,-0.364821,0.046413502
1,1,0.101307,-0.414118,2.475152,0.156541497
1,1,0.237791,0.173679,-0.668625,0.02388664
0,0,0.02622,3.721008,-0.337581,0.671581888
1,1,-0.031259,-0.770882,0.966548,0.252248918
1,1,0.115231,0.03308,-0.287106,0.066505128
1,1,0.138754,-0.052011,1.853216,0.33996113
0,0,0.255045,1.169572,-0.305122,0.167616876
0,0,0.408766,0.296512,-0.096803,0.081947976
1,1,0.385036,0.029879,0.059976,0.090415157
1,1,0.2209,-0.184166,0.825572,0.22273231
1,1,0.101715,-0.171929,1.092756,0.288619421
1,1,0.268394,0.074563,0.097251,0.408773369
0,0,0.06699,0.290892,2.743536,0.401440095
0,0,0.292838,0.601675,-0.428871,0.324109317
0,0,-0.120684,-0.098629,-1.163343,-0.005034148
0,0,-0.369785,-0.462386,-1.228042,-0.304129627
0,0,0.066244,0.372225,-0.5194,0.56250662
1,1,0.637171,0.489266,1.245717,0.157162254
